	Sample4	Sample10	Sample16	Sample22	Sample6	Sample12	Sample18	Sample24
ETS1-1	0	0	0	0	0	0	0	0
ETS1-2	0	0	0	0	0	0	0	0
ETS2-1	0	0	0	0	0	0	0	0
ETS2-2	0	0	0	0	0	0	0	0
HRA1	4	0	2	4	1	1	1	3
ICR1	191	178	118	132	128	86	100	72
IRT1	410	429	391	510	615	718	760	806
ITS1-1	0	0	0	0	0	0	0	0
ITS1-2	0	0	0	0	0	0	0	0
ITS2-1	0	0	0	0	0	0	0	0
ITS2-2	0	0	0	0	0	0	0	0
LSR1	334	281	610	204	295	398	294	417
NME1	67	54	165	44	71	78	63	91
PWR1	0	0	0	0	0	0	0	0
Q0010	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0
Q0020	0	0	0	0	0	0	0	0
Q0032	0	0	0	0	0	0	0	0
Q0045	0	0	0	0	0	0	0	0
Q0050	0	0	0	0	0	0	0	0
Q0055	0	0	0	0	0	0	0	0
Q0060	0	0	0	0	0	0	0	0
Q0065	0	0	0	0	0	0	0	0
Q0070	0	0	0	0	0	0	0	0
Q0075	0	0	0	0	0	0	0	0
Q0080	0	0	0	0	0	0	0	0
Q0085	0	0	0	0	0	0	0	0
Q0092	0	0	0	0	0	0	0	0
Q0105	0	0	0	0	0	0	0	0
Q0110	0	0	0	0	0	0	0	0
Q0115	0	0	0	0	0	0	0	0
Q0120	0	0	0	0	0	0	0	0
Q0130	0	0	0	0	0	0	0	0
Q0140	0	0	0	0	0	0	0	0
Q0142	0	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0
Q0144	0	0	0	0	0	0	0	0
Q0158	0	0	0	0	0	0	0	0
Q0160	0	0	0	0	0	0	0	0
Q0182	0	0	0	0	0	0	0	0
Q0250	0	0	0	0	0	0	0	0
Q0255	0	0	0	0	0	0	0	0
Q0275	0	0	0	0	0	0	0	0
Q0285	0	0	0	0	0	0	0	0
Q0297	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0
RDN5-1	6	1	6	4	4	1	1	0
RDN5-2	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0
RDN5-6	0	0	1	0	0	0	0	0
RDN58-1	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0
RME2	61	52	40	67	60	66	66	69
RME3	0	0	0	0	0	0	0	0
RNA170	39	40	29	34	40	50	41	36
RPR1	103	93	159	57	51	76	30	86
RUF20	124	134	139	149	139	141	132	131
RUF21	45	54	37	48	48	36	43	47
RUF22	0	0	0	1	0	2	1	0
RUF23	11	8	3	4	4	10	8	13
RUF5-1	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0
SCR1	237	215	358	133	152	234	139	292
SRG1	214	200	216	228	241	243	235	238
YAL001C	852	809	546	596	698	701	660	680
YAL002W	725	661	411	453	616	562	730	655
YAL003W	591	567	541	723	602	596	571	758
YAL004W	0	0	0	0	0	0	0	0
YAL005C	435	411	339	425	400	374	410	423
YAL007C	399	423	337	393	392	380	345	324
YAL008W	339	311	334	342	356	367	322	343
YAL009W	258	234	188	214	219	232	251	278
YAL010C	498	440	318	395	435	415	392	369
YAL011W	333	370	201	235	187	240	311	314
YAL012W	481	407	216	233	177	150	304	260
YAL013W	613	595	348	473	517	532	629	745
YAL014C	377	334	219	270	335	295	400	428
YAL015C	407	427	302	373	345	358	371	373
YAL016C-A	16	16	7	24	20	20	15	36
YAL016C-B	29	32	32	40	42	32	38	41
YAL016W	983	967	855	903	970	963	968	971
YAL017W	723	675	496	502	595	582	740	746
YAL018C	33	21	33	36	7	10	13	2
YAL019W	639	588	272	233	290	331	533	450
YAL019W-A	0	0	0	0	0	0	0	0
YAL020C	239	241	138	173	177	189	247	260
YAL021C	752	737	350	411	433	464	589	620
YAL022C	541	551	321	397	442	447	593	599
YAL023C	1107	1140	585	622	563	502	614	605
YAL024C	535	490	164	236	316	204	204	219
YAL025C	540	600	459	624	503	590	584	658
YAL026C	851	800	453	418	490	508	567	540
YAL026C-A	76	84	57	87	82	77	89	111
YAL027W	293	291	291	347	332	338	298	299
YAL028W	107	130	130	137	138	138	181	171
YAL029C	1442	1424	946	1026	1294	1399	1470	1423
YAL030W	272	247	227	304	284	290	288	325
YAL031C	442	423	227	272	281	324	419	411
YAL031W-A	37	26	27	33	29	26	33	39
YAL032C	410	461	282	418	402	394	495	521
YAL033W	225	234	180	217	202	207	225	222
YAL034C	511	469	341	385	531	412	626	626
YAL034C-B	35	34	23	43	31	38	45	52
YAL034W-A	253	289	176	243	207	191	155	142
YAL035W	1706	1669	959	1072	1265	1336	1605	1578
YAL036C	508	541	304	371	383	442	488	511
YAL037C-A	32	18	13	19	9	10	10	12
YAL037C-B	32	29	27	28	32	26	26	31
YAL037W	199	208	173	210	239	227	186	180
YAL038W	453	435	340	373	375	339	374	410
YAL039C	579	547	442	558	579	623	701	797
YAL040C	404	429	224	261	285	330	351	338
YAL041W	567	576	295	343	387	390	636	553
YAL042C-A	0	2	0	1	0	0	0	2
YAL042W	616	621	412	478	468	513	583	600
YAL043C	532	517	264	302	311	365	473	495
YAL044C	384	418	415	557	445	484	474	613
YAL044W-A	83	80	83	91	88	89	86	89
YAL045C	5	7	0	15	5	11	2	10
YAL046C	235	242	198	294	250	261	255	292
YAL047C	364	305	185	227	313	241	335	309
YAL047W-A	0	0	0	0	0	0	0	1
YAL048C	365	408	180	187	284	316	387	372
YAL049C	444	475	397	476	458	490	437	487
YAL051W	592	473	236	319	422	397	624	566
YAL053W	1342	1281	888	1017	1144	1166	1237	1216
YAL054C	477	488	365	463	980	1105	1101	1246
YAL055W	287	294	266	328	292	309	279	312
YAL056C-A	27	26	19	25	23	27	30	28
YAL056W	958	985	770	844	897	958	963	1025
YAL058W	417	406	266	338	332	400	378	392
YAL059C-A	0	0	0	0	0	0	1	0
YAL059W	177	191	156	214	177	188	194	199
YAL060W	904	901	806	976	870	900	859	1005
YAL061W	477	396	386	457	514	491	653	681
YAL062W	457	455	431	487	632	828	869	923
YAL063C	263	293	213	287	271	277	309	344
YAL063C-A	24	22	25	25	30	25	19	19
YAL064C-A	63	69	42	50	69	73	63	68
YAL064W	2	6	7	6	5	7	15	13
YAL064W-B	26	25	22	7	23	24	24	21
YAL065C	18	11	10	7	14	19	20	12
YAL066W	1	0	1	1	5	0	0	0
YAL067C	176	170	162	150	195	202	172	159
YAL067W-A	0	0	0	1	0	0	0	0
YAL068C	0	0	0	0	1	0	1	0
YAL068W-A	0	0	0	0	0	0	0	0
YAL069W	0	0	0	0	0	0	0	0
YAR002C-A	476	469	425	505	474	426	397	398
YAR002W	780	775	598	668	739	750	722	695
YAR003W	359	400	328	377	380	390	367	380
YAR007C	727	758	418	513	590	544	481	505
YAR008W	289	326	197	239	210	206	168	174
YAR009C	29	31	23	28	32	28	23	28
YAR010C	2	0	0	0	0	1	2	0
YAR014C	741	815	513	603	631	721	742	824
YAR015W	618	668	596	764	704	753	740	871
YAR018C	315	292	153	216	219	209	263	222
YAR019C	341	321	206	217	246	228	289	301
YAR019W-A	1	1	0	4	2	1	0	1
YAR020C	25	23	23	20	23	29	32	46
YAR023C	155	196	199	250	219	222	195	223
YAR027W	428	412	428	478	479	480	448	468
YAR028W	224	259	206	236	254	288	237	248
YAR029W	42	50	40	54	48	66	59	70
YAR030C	53	69	60	82	82	88	101	104
YAR031W	147	154	109	130	167	185	183	190
YAR033W	124	140	126	135	175	153	132	143
YAR035C-A	3	6	3	6	18	23	34	44
YAR035W	154	179	114	136	401	593	781	894
YAR042W	989	875	500	497	706	799	768	819
YAR047C	32	37	30	33	49	33	49	39
YAR050W	331	324	153	197	148	187	214	240
YAR053W	36	31	37	43	58	45	43	40
YAR060C	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0
YAR064W	24	14	5	8	10	6	7	13
YAR066W	12	4	1	2	0	4	2	2
